ID1 ID2 nb_sup2 sum_sup2 Sex1 State1 Region1 Sex2 State2 Region2
HG00096 HG00114 11 31.276 1 GBR EUR 1 GBR EUR
HG00097 HG00115 8 25.402 2 GBR EUR 1 GBR EUR
HG00099 HG00100 19 61.575 2 GBR EUR 2 GBR EUR
HG00100 HG00099 19 61.575 2 GBR EUR 2 GBR EUR
HG00101 HG00100 13 37.53 1 GBR EUR 2 GBR EUR
HG00102 HG00125 11 30.198 2 GBR EUR 2 GBR EUR
HG00103 HG00106 16 43.255 1 GBR EUR 2 GBR EUR
HG00105 NA12005 6 16.687 1 GBR EUR 1 CEU EUR
HG00106 HG00103 16 43.255 2 GBR EUR 1 GBR EUR
HG00107 HG00118 17 44.146 1 GBR EUR 2 GBR EUR
HG00108 HG00114 10 26.239 1 GBR EUR 1 GBR EUR
HG00109 HG00100 13 38.605 1 GBR EUR 2 GBR EUR
HG00110 HG00109 9 25.92 2 GBR EUR 1 GBR EUR
HG00111 HG00120 13 39.693 2 GBR EUR 2 GBR EUR
HG00112 HG00123 58 173.818 1 GBR EUR 2 GBR EUR
HG00113 HG00125 12 35.831 1 GBR EUR 2 GBR EUR
HG00114 HG00120 16 50.962 1 GBR EUR 2 GBR EUR
HG00115 HG00120 15 55.98 1 GBR EUR 2 GBR EUR
HG00116 HG00120 117 397.599 1 GBR EUR 2 GBR EUR
HG00117 HG00123 7 19.531 1 GBR EUR 2 GBR EUR
HG00118 HG00107 17 44.146 2 GBR EUR 1 GBR EUR
HG00119 HG00120 7 21.751 1 GBR EUR 2 GBR EUR
HG00120 HG00116 117 397.599 2 GBR EUR 1 GBR EUR
HG00121 HG00108 7 24.425 2 GBR EUR 1 GBR EUR
HG00122 HG00115 8 24.383 2 GBR EUR 1 GBR EUR
HG00123 HG00112 58 173.818 2 GBR EUR 1 GBR EUR
HG00125 HG00123 14 44.982 2 GBR EUR 2 GBR EUR
HG00126 HG00176 6 18.049 1 GBR EUR 2 FIN EUR
HG00127 NA19723 7 22.045 2 GBR EUR 1 MXL AMR
HG00128 HG02690 8 22.528 2 GBR EUR 1 PJL SAS
HG00129 HG00190 7 20.045 1 GBR EUR 1 FIN EUR
HG00130 NA11919 7 17.224 2 GBR EUR 1 CEU EUR
HG00131 NA11831 4 12.402 1 GBR EUR 1 CEU EUR
HG00132 NA20758 6 16.444 2 GBR EUR 1 TSI EUR
HG00133 NA12046 8 24.652 2 GBR EUR 2 CEU EUR
HG00136 HG00320 8 20.143 1 GBR EUR 2 FIN EUR
HG00137 NA12273 6 15.79 2 GBR EUR 2 CEU EUR
HG00138 NA11829 8 20.798 1 GBR EUR 1 CEU EUR
HG00139 HG00160 7 22.546 1 GBR EUR 1 GBR EUR
HG00140 HG01204 5 15.021 1 GBR EUR 1 PUR AMR
HG00141 HG02271 7 21.051 1 GBR EUR 1 PEL AMR
HG00142 NA12146 7 18.619 1 GBR EUR 1 CEU EUR
HG00143 HG00148 7 19.762 1 GBR EUR 1 GBR EUR
HG00145 HG00274 5 12.871 1 GBR EUR 2 FIN EUR
HG00146 HG00356 7 21.53 2 GBR EUR 2 FIN EUR
HG00148 HG00127 8 21.644 1 GBR EUR 2 GBR EUR
HG00149 HG03867 6 16.892 1 GBR EUR 1 ITU SAS
HG00150 NA12761 6 13.059 2 GBR EUR 2 CEU EUR
HG00151 HG00112 7 19.052 1 GBR EUR 1 GBR EUR
HG00154 NA12341 5 14.191 2 GBR EUR 2 CEU EUR
HG00157 NA21119 7 19.365 1 GBR EUR 1 GIH SAS
HG00158 HG01784 7 21.299 2 GBR EUR 2 IBS EUR
HG00159 NA19795 8 24.187 1 GBR EUR 1 MXL AMR
HG00160 HG00139 7 22.546 1 GBR EUR 1 GBR EUR
HG00171 HG00323 13 40.849 2 FIN EUR 2 FIN EUR
HG00173 HG00358 12 32.508 2 FIN EUR 1 FIN EUR
HG00174 HG00364 8 19.448 2 FIN EUR 2 FIN EUR
HG00176 HG00321 14 40.952 2 FIN EUR 1 FIN EUR
HG00177 HG00187 8 23.589 2 FIN EUR 1 FIN EUR
HG00178 HG00349 12 29.761 2 FIN EUR 2 FIN EUR
HG00179 HG00358 10 31.758 2 FIN EUR 1 FIN EUR
HG00180 HG00371 8 24.436 2 FIN EUR 1 FIN EUR
HG00181 HG00325 9 24.498 1 FIN EUR 1 FIN EUR
HG00182 HG00313 13 38.9 1 FIN EUR 2 FIN EUR
HG00183 HG00351 13 34.428 1 FIN EUR 1 FIN EUR
HG00185 HG00342 11 31.136 1 FIN EUR 1 FIN EUR
HG00186 HG00321 14 38.02 1 FIN EUR 1 FIN EUR
HG00187 HG00325 12 38.991 1 FIN EUR 1 FIN EUR
HG00188 HG00365 10 27.577 1 FIN EUR 2 FIN EUR
HG00189 HG00278 9 23.389 1 FIN EUR 1 FIN EUR
HG00190 HG00335 12 32.923 1 FIN EUR 1 FIN EUR
HG00231 HG01362 6 15.367 2 GBR EUR 1 CLM AMR
HG00232 HG00253 7 29.347 2 GBR EUR 2 GBR EUR
HG00233 HG00252 8 21.786 2 GBR EUR 1 GBR EUR
HG00234 NA12830 5 14.116 1 GBR EUR 2 CEU EUR
HG00235 HG03806 6 16.476 2 GBR EUR 1 BEB SAS
HG00236 HG00264 10 29.075 2 GBR EUR 1 GBR EUR
HG00237 HG00252 6 16.476 2 GBR EUR 1 GBR EUR
HG00238 HG00240 80 225.625 2 GBR EUR 2 GBR EUR
HG00239 NA11893 8 17.998 2 GBR EUR 1 CEU EUR
HG00240 HG00238 80 225.625 2 GBR EUR 2 GBR EUR
HG00242 HG00238 6 15.968 1 GBR EUR 2 GBR EUR
HG00243 HG00255 9 24.317 1 GBR EUR 2 GBR EUR
HG00244 HG01051 7 20.155 1 GBR EUR 1 PUR AMR
HG00245 HG00239 6 14.312 2 GBR EUR 2 GBR EUR
HG00246 HG00257 6 18.611 1 GBR EUR 2 GBR EUR
HG00250 HG00242 6 15.151 2 GBR EUR 1 GBR EUR
HG00251 HG00243 8 23.64 1 GBR EUR 1 GBR EUR
HG00252 HG01679 10 30.281 1 GBR EUR 2 IBS EUR
HG00253 HG00232 7 29.347 2 GBR EUR 2 GBR EUR
HG00254 HG01046 5 14.152 2 GBR EUR 2 CDX EAS
HG00255 HG00243 9 24.317 2 GBR EUR 1 GBR EUR
HG00256 NA19795 8 23.282 1 GBR EUR 1 MXL AMR
HG00257 HG00246 6 18.611 2 GBR EUR 1 GBR EUR
HG00258 HG00232 5 14.719 2 GBR EUR 2 GBR EUR
HG00259 HG00240 7 29.045 2 GBR EUR 2 GBR EUR
HG00260 HG03863 5 14.537 1 GBR EUR 2 ITU SAS
HG00261 HG00157 7 18.914 2 GBR EUR 1 GBR EUR
HG00262 HG01679 5 13.954 2 GBR EUR 2 IBS EUR
HG00263 HG00264 5 14.102 2 GBR EUR 1 GBR EUR
HG00264 HG00236 10 29.075 1 GBR EUR 2 GBR EUR
HG00265 HG00157 5 14.49 1 GBR EUR 1 GBR EUR
HG00266 HG00372 9 25.834 2 FIN EUR 1 FIN EUR
HG00267 HG00368 12 34.269 1 FIN EUR 2 FIN EUR
HG00268 HG00281 9 24.538 2 FIN EUR 2 FIN EUR
