#ID nb_sup2 sum_sup2 mean_sup2 nb_sup8 sum_sup8 mean_sup8 nb_sup20 sum_sup20 mean_sup20 Sex State Region
HG00096 1 5.97 5.97 0 0 0 0 0 0 1 GBR EUR
HG00097 1 2.172 2.172 0 0 0 0 0 0 2 GBR EUR
HG00099 3 8.843 2.94767 0 0 0 0 0 0 2 GBR EUR
HG00100 3 10.001 3.33367 0 0 0 0 0 0 2 GBR EUR
HG00101 0 0 0 0 0 0 0 0 0 1 GBR EUR
HG00102 3 8.636 2.87867 0 0 0 0 0 0 2 GBR EUR
HG00103 4 10.736 2.684 0 0 0 0 0 0 1 GBR EUR
HG00105 1 2.202 2.202 0 0 0 0 0 0 1 GBR EUR
HG00106 0 0 0 0 0 0 0 0 0 2 GBR EUR
HG00107 1 2.633 2.633 0 0 0 0 0 0 1 GBR EUR
HG00108 3 8.419 2.80633 0 0 0 0 0 0 1 GBR EUR
HG00109 1 3.922 3.922 0 0 0 0 0 0 1 GBR EUR
HG00110 18 80.113 4.45072 3 31.226 10.4087 0 0 0 2 GBR EUR
HG00111 5 19.733 3.9466 0 0 0 0 0 0 2 GBR EUR
HG00112 4 27.944 6.986 1 16.963 16.963 0 0 0 1 GBR EUR
HG00113 0 0 0 0 0 0 0 0 0 1 GBR EUR
HG00114 7 32.674 4.66771 1 13.916 13.916 0 0 0 1 GBR EUR
HG00115 2 6.127 3.0635 0 0 0 0 0 0 1 GBR EUR
HG00116 0 0 0 0 0 0 0 0 0 1 GBR EUR
HG00117 19 92.943 4.89174 3 30.272 10.0907 0 0 0 1 GBR EUR
HG00118 0 0 0 0 0 0 0 0 0 2 GBR EUR
HG00119 0 0 0 0 0 0 0 0 0 1 GBR EUR
HG00120 0 0 0 0 0 0 0 0 0 2 GBR EUR
HG00121 4 12.523 3.13075 0 0 0 0 0 0 2 GBR EUR
HG00122 3 8.734 2.91133 0 0 0 0 0 0 2 GBR EUR
HG00123 2 7.474 3.737 0 0 0 0 0 0 2 GBR EUR
HG00125 4 12.092 3.023 0 0 0 0 0 0 2 GBR EUR
HG00126 0 0 0 0 0 0 0 0 0 1 GBR EUR
HG00127 12 41.437 3.45308 0 0 0 0 0 0 2 GBR EUR
HG00128 2 5.149 2.5745 0 0 0 0 0 0 2 GBR EUR
HG00129 1 2.346 2.346 0 0 0 0 0 0 1 GBR EUR
