ID1 ID2 nb_sup2 sum_sup2 Sex1 State1 Region1 Sex2 State2 Region2
LD2168 LD0492 15 45.694 Female Missing Other Female Missing Other
LD0782 LD0090 15 41.719 Female Tamil_Nadu South Male Tamil_Nadu South
LD1936 LD2669 21 90.77 Male Kerala South Male Kerala South
LD1986 LD0034 53 233.971 Male Karnataka South Female Tamil_Nadu South
LD0684 LD0757 8 31.277 Female Rajasthan North Male Rajasthan North
LD0854 LD0822 148 810.542 Female Kerala South Male Kerala South
LD0807 LD1393 19 88.816 Female Karnataka South Female Karnataka South
LD0439 LD1767 11 34.82 Male Haryana North Male Rajasthan North
LD0181 LD0581 9 34.622 Female Haryana North Female Haryana North
LD1367 LD2582 172 829.475 Female Kerala South Female Kerala South
LD2564 LD0982 58 291.043 Male Kerala South Male Kerala South
LD1386 LD1777 28 106.754 Female Tamil_Nadu South Female Tamil_Nadu South
LD1711 LD2549 13 43.774 Male Haryana North Male Haryana North
LD1501 LD2245 11 41.094 Female Tamil_Nadu South Male Tamil_Nadu South
LD2469 LD2251 31 177.57 Male Uttar_Pradesh Central Male Uttar_Pradesh Central
LD2654 LD0658 13 41.552 Male Tamil_Nadu South Male Karnataka South
LD0064 LD1691 69 393.045 Female Kerala South Male Kerala South
LD0723 LD2526 11 32.606 Female Haryana North Female Haryana North
LD2382 LD1924 11 30.11 Female Uttar_Pradesh Central Male Rajasthan North
LD1670 LD2208 28 102.052 Male Delhi North Male Missing Other
LD1857 LD1128 25 113.281 Male Kerala South Female Kerala South
LD1939 LD1385 11 27.36 Male Tamil_Nadu South Male Odisha East
LD1447 LD1293 187 1210.7 Male Karnataka South Male Karnataka South
LD1909 LD0751 23 77.319 Female Rajasthan North Female Rajasthan North
LD0925 LD0574 11 29.233 Female Delhi North Male Tamil_Nadu South
LD2093 LD1948 18 59.421 Female Punjab North Female Uttar_Pradesh Central
LD0655 LD0584 121 520.201 Male Tamil_Nadu South Male Tamil_Nadu South
LD2497 LD0504 11 36.277 Male Haryana North Female Gujarat West
LD0796 LD0371 19 62.293 Female Rajasthan North Female Haryana North
LD0456 LD2007 16 70.559 Female Kerala South Male Kerala South
LD2376 LD1812 13 43.536 Female Delhi North Male Uttar_Pradesh Central
LD2393 LD2340 23 93.174 Male Kerala South Female Kerala South
LD1702 LD2687 8 23.654 Female Uttar_Pradesh Central Female Gujarat West
LD1883 LD0975 40 228.096 Female Karnataka South Male Karnataka South
LD1624 LD1818 37 153.896 Male Kerala South Male Kerala South
LD0124 LD1486 18 86.301 Male Kerala South Female Kerala South
LD0990 LD1284 9 29.729 Male West_Bengal East Male Assam North-East
LD1356 LD1736 36 125.945 Female Rajasthan North Male Rajasthan North
LD1128 LD1694 31 134.278 Female Kerala South Female Kerala South
LD1200 LD1714 96 357.554 Male Rajasthan North Male Rajasthan North
LD0930 LD2576 13 33.478 Female Haryana North Female Rajasthan North
LD2567 LD0478 13 50.233 Female Rajasthan North Female Rajasthan North
LD0034 LD1986 53 233.971 Female Tamil_Nadu South Male Karnataka South
LD2470 LD1480 15 40.033 Female Tamil_Nadu South Male Bihar East
LD2632 LD0574 10 31.873 Female Tamil_Nadu South Male Tamil_Nadu South
LD0675 LD0982 27 83.47 Female Kerala South Male Kerala South
LD1453 LD0094 18 74.313 Male Kerala South Female Kerala South
LD0133 LD0541 22 65.789 Female Haryana North Male Haryana North
LD1234 LD2249 13 48.804 Female Karnataka South Female Karnataka South
LD1265 LD0163 163 1018.76 Male Kerala South Female Kerala South
LD0449 LD2176 24 71.744 Male Haryana North Female Rajasthan North
LD1500 LD1585 7 28.531 Male Karnataka South Female Karnataka South
LD0636 LD1622 15 41.669 Male Karnataka South Female Kerala South
LD1311 LD0679 29 109.512 Female Kerala South Female Kerala South
LD2484 LD1222 216 1377.95 Male Rajasthan North Male Rajasthan North
LD0417 LD1216 32 105.373 Female Rajasthan North Male Rajasthan North
LD0618 LD0104 19 58.597 Male Kerala South Male Kerala South
LD1943 LD1582 32 162.806 Female Rajasthan North Male Rajasthan North
LD2436 LD1029 13 47.048 Male Uttar_Pradesh Central Female Uttar_Pradesh Central
