#ID PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 SuperPopulation Sex State Region Country Language FamilyLanguage Caste Dataset
LD2168 -0.0082 -0.0024 0.0334 -0.0120 0.0044 0.0010 -0.0051 0.0163 0.0114 0.0139 LASI-DAD2620 Female Missing Other Pakistan Hindi Indo-European Other_caste LASI-DAD
LD0782 -0.0055 0.0067 0.0085 -0.0027 -0.0042 -0.0087 0.0048 -0.0082 -0.0037 0.0114 LASI-DAD2620 Female Tamil_Nadu South India Tamil Dravidian Other_backward_class LASI-DAD
LD1936 0.0005 0.0174 -0.0251 0.0144 -0.0021 -0.0122 -0.0120 0.0023 -0.0121 0.0031 LASI-DAD2620 Male Kerala South India Malayalam Dravidian Other_backward_class LASI-DAD
LD1986 -0.0033 0.0119 -0.0037 -0.0002 -0.0092 -0.0219 -0.0098 -0.0050 -0.0015 -0.0098 LASI-DAD2620 Male Karnataka South India Tamil Dravidian Other_backward_class LASI-DAD
LD0684 -0.0084 0.0011 0.0221 -0.0093 0.0018 0.0021 -0.0047 0.0155 0.0113 0.0084 LASI-DAD2620 Female Rajasthan North India Rajasthani Indo-European Other_backward_class LASI-DAD
LD0854 -0.0033 0.0116 -0.0048 0.0046 -0.0173 -0.0512 -0.0132 -0.0048 0.0083 -0.0042 LASI-DAD2620 Female Kerala South India Malayalam Dravidian Other_backward_class LASI-DAD
LD0807 -0.0004 0.0169 -0.0231 0.0103 -0.0024 -0.0029 -0.0037 -0.0070 0.0002 -0.0052 LASI-DAD2620 Female Karnataka South India Telugu Dravidian Scheduled_caste LASI-DAD
LD0439 -0.0066 0.0032 0.0155 -0.0058 -0.0012 0.0064 -0.0043 0.0224 -0.0118 0.0089 LASI-DAD2620 Male Haryana North India Hindi Indo-European Other_backward_class LASI-DAD
LD0181 -0.0051 0.0069 0.0065 0.0018 0.0049 0.0121 0.0085 -0.0080 0.0111 -0.0057 LASI-DAD2620 Female Haryana North India Hindi Indo-European Other_caste LASI-DAD
LD1367 -0.0005 0.0157 -0.0246 0.0152 -0.0117 -0.0209 -0.0102 0.0074 -0.0080 0.0077 LASI-DAD2620 Female Kerala South India Malayalam Dravidian Scheduled_caste LASI-DAD
LD2564 -0.0034 0.0123 -0.0033 0.0046 -0.0107 -0.0390 -0.0245 0.0077 0.0179 -0.0032 LASI-DAD2620 Male Kerala South India Malayalam Dravidian Other_caste LASI-DAD
LD1386 -0.0014 0.0138 -0.0115 0.0110 -0.0102 -0.0211 -0.0088 -0.0039 -0.0047 -0.0070 LASI-DAD2620 Female Tamil_Nadu South India Tamil Dravidian Other_backward_class LASI-DAD
LD1711 -0.0103 -0.0043 0.0278 -0.0151 0.0102 0.0022 0.0078 -0.0153 -0.0160 -0.0045 LASI-DAD2620 Male Haryana North India Hindi Indo-European Other_caste LASI-DAD
LD1501 -0.0037 0.0120 -0.0037 0.0016 -0.0072 -0.0185 -0.0070 -0.0082 -0.0070 -0.0039 LASI-DAD2620 Female Tamil_Nadu South India Tamil Dravidian Other_backward_class LASI-DAD
LD2469 -0.0036 0.0105 -0.0024 0.0032 0.0002 0.0093 0.0230 -0.0023 0.0260 -0.0007 LASI-DAD2620 Male Uttar_Pradesh Central India Hindi Indo-European Other_backward_class LASI-DAD
LD2654 -0.0032 0.0115 -0.0004 0.0003 -0.0042 -0.0198 -0.0125 0.0225 0.0166 -0.0016 LASI-DAD2620 Male Tamil_Nadu South India Tamil Dravidian Other_backward_class LASI-DAD
LD0064 -0.0048 0.0081 0.0052 -0.0025 -0.0062 -0.0215 -0.0181 0.0290 0.0173 0.0205 LASI-DAD2620 Female Kerala South India Malayalam Dravidian Other_caste LASI-DAD
LD0723 -0.0078 0.0019 0.0312 -0.0135 -0.0043 -0.0060 -0.0086 0.0150 0.0096 0.0107 LASI-DAD2620 Female Haryana North India Hindi Indo-European Other_backward_class LASI-DAD
LD2382 -0.0040 0.0102 0.0008 -0.0006 0.0083 0.0182 0.0145 0.0129 0.0111 0.0014 LASI-DAD2620 Female Uttar_Pradesh Central India Hindi Indo-European Other_backward_class LASI-DAD
LD1670 -0.0091 -0.0033 0.0311 -0.0135 -0.0048 -0.0025 0.0074 -0.0141 0.0169 -0.0123 LASI-DAD2620 Male Delhi North India Punjabi Indo-European Other_caste LASI-DAD
LD1857 -0.0044 0.0095 0.0017 0.0005 -0.0116 -0.0260 -0.0067 0.0011 -0.0262 0.0074 LASI-DAD2620 Male Kerala South India Malayalam Dravidian Other_caste LASI-DAD
LD1939 -0.0020 0.0098 -0.0048 0.0044 -0.0102 -0.0111 -0.0039 0.0001 -0.0346 0.0067 LASI-DAD2620 Male Tamil_Nadu South India Tamil Dravidian Other_backward_class LASI-DAD
LD1447 -0.0045 0.0114 0.0006 0.0024 -0.0107 -0.0253 -0.0048 -0.0085 0.0184 -0.0151 LASI-DAD2620 Male Karnataka South India Telugu Dravidian Other_backward_class LASI-DAD
LD1909 -0.0060 0.0053 0.0151 -0.0066 -0.0043 0.0129 -0.0184 -0.0155 -0.0374 0.0063 LASI-DAD2620 Female Rajasthan North India Hindi Indo-European Scheduled_caste LASI-DAD
LD0925 -0.0028 0.0122 -0.0011 0.0031 0.0096 0.0149 0.0069 0.0072 0.0058 -0.0017 LASI-DAD2620 Female Delhi North India Hindi Indo-European Other_caste LASI-DAD
LD2093 -0.0065 0.0036 0.0188 -0.0075 0.0014 -0.0019 -0.0015 0.0272 0.0144 0.0097 LASI-DAD2620 Female Punjab North India Punjabi Indo-European Other_caste LASI-DAD
LD0655 -0.0023 0.0132 -0.0118 0.0078 -0.0063 -0.0180 -0.0143 0.0029 -0.0066 0.0021 LASI-DAD2620 Male Tamil_Nadu South India Tamil Dravidian Other_backward_class LASI-DAD
LD2497 -0.0062 0.0035 0.0121 -0.0053 0.0018 0.0029 0.0058 -0.0085 0.0005 -0.0084 LASI-DAD2620 Male Haryana North India Hindi Indo-European Other_caste LASI-DAD
LD0796 -0.0058 0.0059 0.0150 -0.0058 0.0031 0.0193 -0.0265 0.0041 -0.0234 0.0042 LASI-DAD2620 Female Rajasthan North India Rajasthani Indo-European Scheduled_caste LASI-DAD
LD0456 -0.0034 0.0124 -0.0077 0.0049 -0.0108 -0.0352 -0.0133 -0.0067 0.0040 0.0050 LASI-DAD2620 Female Kerala South India Malayalam Dravidian Other_backward_class LASI-DAD
LD2376 -0.0049 0.0070 0.0088 -0.0006 0.0100 0.0146 0.0035 0.0198 0.0136 0.0025 LASI-DAD2620 Female Delhi North India Hindi Indo-European Scheduled_caste LASI-DAD
LD2393 -0.0033 0.0106 -0.0027 0.0052 -0.0093 -0.0295 -0.0022 -0.0141 0.0184 -0.0070 LASI-DAD2620 Male Kerala South India Malayalam Dravidian Other_backward_class LASI-DAD
LD1702 -0.0060 0.0038 0.0146 -0.0084 -0.0008 0.0006 -0.0011 0.0028 0.0097 0.0009 LASI-DAD2620 Female Uttar_Pradesh Central India Urdu Indo-European Other_caste LASI-DAD
LD1883 -0.0031 0.0112 -0.0038 0.0041 -0.0052 -0.0174 -0.0127 0.0114 0.0013 0.0065 LASI-DAD2620 Female Karnataka South India Kannada Dravidian Other_backward_class LASI-DAD
LD1624 -0.0056 0.0066 0.0109 -0.0048 -0.0034 -0.0143 -0.0102 0.0068 -0.0112 -0.0017 LASI-DAD2620 Male Kerala South India Konkani Indo-European Other_caste LASI-DAD
LD0124 -0.0054 0.0071 0.0091 -0.0021 -0.0080 -0.0217 -0.0114 -0.0079 0.0137 0.0048 LASI-DAD2620 Male Kerala South India Malayalam Dravidian Other_caste LASI-DAD
LD0990 -0.0034 0.0106 -0.0069 -0.0004 0.0063 0.0122 0.0072 -0.0047 -0.0046 -0.0021 LASI-DAD2620 Male West_Bengal East India Hindi Indo-European Other_caste LASI-DAD
LD1356 -0.0042 0.0096 0.0024 0.0003 0.0044 0.0263 -0.0363 0.0040 0.0091 -0.0001 LASI-DAD2620 Female Rajasthan North India Rajasthani Indo-European Scheduled_tribe LASI-DAD
LD1128 -0.0046 0.0095 0.0035 -0.0003 -0.0096 -0.0270 -0.0101 -0.0016 -0.0048 -0.0034 LASI-DAD2620 Female Kerala South India Malayalam Dravidian Other_caste LASI-DAD
LD1200 -0.0040 0.0095 0.0014 0.0016 0.0009 0.0039 0.0041 0.0004 -0.0138 -0.0042 LASI-DAD2620 Male Rajasthan North India Rajasthani Indo-European Scheduled_caste LASI-DAD
LD0930 -0.0106 -0.0072 0.0281 -0.0118 -0.0007 0.0011 0.0085 -0.0111 0.0151 -0.0010 LASI-DAD2620 Female Haryana North India Hindi Indo-European Other_caste LASI-DAD
LD2567 -0.0062 0.0048 0.0163 -0.0074 0.0046 0.0060 -0.0047 0.0142 0.0137 0.0033 LASI-DAD2620 Female Rajasthan North India Rajasthani Indo-European Other_caste LASI-DAD
LD0034 -0.0030 0.0119 -0.0070 0.0066 -0.0028 -0.0049 -0.0171 0.0480 0.0221 0.0207 LASI-DAD2620 Female Tamil_Nadu South India Tamil Dravidian Other_backward_class LASI-DAD
LD2470 -0.0035 0.0115 -0.0038 0.0008 -0.0037 -0.0080 -0.0032 -0.0149 0.0210 0.0035 LASI-DAD2620 Female Tamil_Nadu South India Tamil Dravidian Other_backward_class LASI-DAD
LD2632 -0.0021 0.0139 -0.0096 0.0082 -0.0078 -0.0269 -0.0094 0.0011 -0.0278 -0.0003 LASI-DAD2620 Female Tamil_Nadu South India Tamil Dravidian Scheduled_caste LASI-DAD
LD0675 -0.0038 0.0111 -0.0046 0.0048 -0.0106 -0.0413 -0.0031 -0.0024 -0.0001 -0.0042 LASI-DAD2620 Female Kerala South India Malayalam Dravidian Other_backward_class LASI-DAD
LD1453 -0.0033 0.0095 -0.0027 0.0024 -0.0068 -0.0178 -0.0165 0.0204 0.0236 0.0136 LASI-DAD2620 Male Kerala South India Malayalam Dravidian Other_backward_class LASI-DAD
LD0133 -0.0051 0.0067 0.0099 -0.0024 0.0073 0.0339 -0.0150 -0.0216 0.0077 0.0032 LASI-DAD2620 Female Haryana North India Hindi Indo-European Scheduled_caste LASI-DAD
LD1234 -0.0030 0.0107 -0.0003 0.0028 -0.0019 -0.0001 -0.0131 0.0242 -0.0070 0.0104 LASI-DAD2620 Female Karnataka South India Urdu Indo-European Other_backward_class LASI-DAD
LD1265 -0.0045 0.0095 0.0036 -0.0011 -0.0108 -0.0280 -0.0085 -0.0071 -0.0215 0.0083 LASI-DAD2620 Male Kerala South India Malayalam Dravidian Other_caste LASI-DAD
LD0449 -0.0052 0.0085 0.0092 -0.0016 0.0027 0.0268 -0.0113 -0.0200 0.0129 -0.0013 LASI-DAD2620 Male Haryana North India Hindi Indo-European Scheduled_caste LASI-DAD
LD1500 -0.0045 0.0106 -0.0007 0.0034 -0.0071 -0.0216 -0.0054 -0.0011 -0.0096 0.0037 LASI-DAD2620 Male Karnataka South India Kannada Dravidian Other_backward_class LASI-DAD
LD0636 -0.0030 0.0123 -0.0041 0.0002 -0.0078 -0.0165 -0.0068 0.0004 -0.0046 0.0005 LASI-DAD2620 Male Karnataka South India Kannada Dravidian Other_backward_class LASI-DAD
LD1311 -0.0040 0.0112 -0.0048 0.0010 -0.0126 -0.0374 -0.0061 -0.0108 0.0204 -0.0155 LASI-DAD2620 Female Kerala South India Malayalam Dravidian Other_backward_class LASI-DAD
