#ID nb_sup2 sum_sup2 mean_sup2 nb_sup8 sum_sup8 mean_sup8 nb_sup20 sum_sup20 mean_sup20 Sex State Region
LD2168 1 2.517 2.517 0 0 0 0 0 0 Female Missing Other
LD0782 7 31.549 4.507 1 10.198 10.198 0 0 0 Female Tamil_Nadu South
LD1936 2 7.426 3.713 0 0 0 0 0 0 Male Kerala South
LD1986 9 51.364 5.70711 0 0 0 0 0 0 Male Karnataka South
LD0684 2 6.93 3.465 0 0 0 0 0 0 Female Rajasthan North
LD0854 15 61.487 4.09913 1 9.162 9.162 0 0 0 Female Kerala South
LD0807 3 6.656 2.21867 0 0 0 0 0 0 Female Karnataka South
LD0439 1 4.321 4.321 0 0 0 0 0 0 Male Haryana North
LD0181 3 15.973 5.32433 1 9.854 9.854 0 0 0 Female Haryana North
LD1367 62 316.038 5.09739 11 124.824 11.3476 0 0 0 Female Kerala South
LD2564 12 39.228 3.269 0 0 0 0 0 0 Male Kerala South
LD1386 5 35.601 7.1202 2 25.184 12.592 0 0 0 Female Tamil_Nadu South
LD1711 2 4.611 2.3055 0 0 0 0 0 0 Male Haryana North
LD1501 3 8.235 2.745 0 0 0 0 0 0 Female Tamil_Nadu South
LD2469 0 0 0 0 0 0 0 0 0 Male Uttar_Pradesh Central
LD2654 2 6.158 3.079 0 0 0 0 0 0 Male Tamil_Nadu South
LD0064 5 32.18 6.436 1 13.014 13.014 0 0 0 Female Kerala South
LD0723 0 0 0 0 0 0 0 0 0 Female Haryana North
LD2382 0 0 0 0 0 0 0 0 0 Female Uttar_Pradesh Central
LD1670 7 22.218 3.174 0 0 0 0 0 0 Male Delhi North
LD1857 1 2.161 2.161 0 0 0 0 0 0 Male Kerala South
LD1939 7 45.485 6.49786 2 19.771 9.8855 0 0 0 Male Tamil_Nadu South
LD1447 12 67.758 5.6465 4 40.515 10.1288 0 0 0 Male Karnataka South
LD1909 1 2.484 2.484 0 0 0 0 0 0 Female Rajasthan North
LD0925 4 9.821 2.45525 0 0 0 0 0 0 Female Delhi North
LD2093 3 8.387 2.79567 0 0 0 0 0 0 Female Punjab North
LD0655 16 64.376 4.0235 0 0 0 0 0 0 Male Tamil_Nadu South
LD2497 1 3.238 3.238 0 0 0 0 0 0 Male Haryana North
LD0796 2 5.161 2.5805 0 0 0 0 0 0 Female Rajasthan North
LD0456 15 73.952 4.93013 3 30.914 10.3047 0 0 0 Female Kerala South
LD2376 9 33.283 3.69811 0 0 0 0 0 0 Female Delhi North
LD2393 35 217.316 6.20903 9 116.232 12.9147 0 0 0 Male Kerala South
LD1702 38 218.322 5.74532 7 92.034 13.1477 1 20.785 20.785 Female Uttar_Pradesh Central
LD1883 1 2.002 2.002 0 0 0 0 0 0 Female Karnataka South
LD1624 5 17.175 3.435 0 0 0 0 0 0 Male Kerala South
LD0124 3 7.759 2.58633 0 0 0 0 0 0 Male Kerala South
LD0990 1 3.286 3.286 0 0 0 0 0 0 Male West_Bengal East
LD1356 3 8.254 2.75133 0 0 0 0 0 0 Female Rajasthan North
LD1128 5 13.015 2.603 0 0 0 0 0 0 Female Kerala South
LD1200 23 97.106 4.222 0 0 0 0 0 0 Male Rajasthan North
LD0930 0 0 0 0 0 0 0 0 0 Female Haryana North
LD2567 5 22.41 4.482 1 9.853 9.853 0 0 0 Female Rajasthan North
LD0034 52 309.91 5.95981 12 153.912 12.826 1 20.88 20.88 Female Tamil_Nadu South
LD2470 2 6.728 3.364 0 0 0 0 0 0 Female Tamil_Nadu South
LD2632 3 12.989 4.32967 0 0 0 0 0 0 Female Tamil_Nadu South
LD0675 18 94.072 5.22622 4 42.65 10.6625 0 0 0 Female Kerala South
LD1453 1 2.386 2.386 0 0 0 0 0 0 Male Kerala South
LD0133 5 13.548 2.7096 0 0 0 0 0 0 Female Haryana North
LD1234 0 0 0 0 0 0 0 0 0 Female Karnataka South
LD1265 2 7.112 3.556 0 0 0 0 0 0 Male Kerala South
LD0449 1 2.149 2.149 0 0 0 0 0 0 Male Haryana North
LD1500 2 6.823 3.4115 0 0 0 0 0 0 Male Karnataka South
LD0636 18 52.213 2.90072 0 0 0 0 0 0 Male Karnataka South
LD1311 8 23.47 2.93375 0 0 0 0 0 0 Female Kerala South
LD2484 2 5.187 2.5935 0 0 0 0 0 0 Male Rajasthan North
LD0417 7 18.446 2.63514 0 0 0 0 0 0 Female Rajasthan North
LD0618 13 76.736 5.90277 5 45.846 9.1692 0 0 0 Male Kerala South
LD1943 4 10.193 2.54825 0 0 0 0 0 0 Female Rajasthan North
LD2436 2 4.505 2.2525 0 0 0 0 0 0 Male Uttar_Pradesh Central
LD2030 6 24.558 4.093 1 8.389 8.389 0 0 0 Female Karnataka South
LD2077 2 6.315 3.1575 0 0 0 0 0 0 Male Karnataka South
LD2164 4 17.81 4.4525 0 0 0 0 0 0 Male Delhi North
LD1586 3 7.093 2.36433 0 0 0 0 0 0 Male Haryana North
LD1520 1 2.69 2.69 0 0 0 0 0 0 Female Haryana North
LD1922 2 6.444 3.222 0 0 0 0 0 0 Female Kerala South
LD1828 47 317.303 6.75113 13 162.516 12.5012 2 41.995 20.9975 Male Kerala South
LD1597 3 9.357 3.119 0 0 0 0 0 0 Female Haryana North
LD1796 5 17.017 3.4034 0 0 0 0 0 0 Female Karnataka South
LD2292 0 0 0 0 0 0 0 0 0 Male Tamil_Nadu South
LD0397 3 8.136 2.712 0 0 0 0 0 0 Female Haryana North
LD1237 1 2.838 2.838 0 0 0 0 0 0 Female Uttar_Pradesh Central
LD2281 2 5.347 2.6735 0 0 0 0 0 0 Male Kerala South
LD0586 2 5.328 2.664 0 0 0 0 0 0 Male Delhi North
LD2467 2 4.322 2.161 0 0 0 0 0 0 Female Haryana North
LD1256 0 0 0 0 0 0 0 0 0 Female Uttar_Pradesh Central
LD1961 2 10.735 5.3675 1 8.326 8.326 0 0 0 Female Kerala South
LD1180 1 2.517 2.517 0 0 0 0 0 0 Male Missing Other
LD1865 10 63.206 6.3206 2 26.312 13.156 0 0 0 Male Tamil_Nadu South
LD0501 44 322.423 7.3278 14 195.848 13.9891 2 46.686 23.343 Male Karnataka South
LD0363 3 8.072 2.69067 0 0 0 0 0 0 Male Haryana North
LD2510 4 13.008 3.252 0 0 0 0 0 0 Female Rajasthan North
LD0095 4 20.195 5.04875 1 8.027 8.027 0 0 0 Female Rajasthan North
LD0155 2 6.34 3.17 0 0 0 0 0 0 Male Uttar_Pradesh Central
LD0521 3 7.829 2.60967 0 0 0 0 0 0 Female Kerala South
LD0510 4 12.264 3.066 0 0 0 0 0 0 Male Haryana North
LD1446 0 0 0 0 0 0 0 0 0 Male Haryana North
LD1402 4 15.72 3.93 0 0 0 0 0 0 Male Kerala South
LD1683 2 13.335 6.6675 1 11.158 11.158 0 0 0 Male Kerala South
LD2737 8 24.649 3.08112 0 0 0 0 0 0 Female Kerala South
LD2240 7 22.201 3.17157 0 0 0 0 0 0 Female Uttar_Pradesh Central
LD0164 0 0 0 0 0 0 0 0 0 Male Bihar East
LD0344 7 31.003 4.429 1 11.751 11.751 0 0 0 Male Kerala South
LD1081 5 24.769 4.9538 1 10.368 10.368 0 0 0 Male Kerala South
LD0592 30 181.907 6.06357 7 83.904 11.9863 0 0 0 Female Karnataka South
LD1619 4 12.912 3.228 0 0 0 0 0 0 Female Rajasthan North
LD0238 4 11.837 2.95925 0 0 0 0 0 0 Male Rajasthan North
LD1920 21 86.953 4.14062 1 8.759 8.759 0 0 0 Female Karnataka South
LD2121 17 101.766 5.98624 3 35.988 11.996 0 0 0 Male Tamil_Nadu South
LD0924 4 23.983 5.99575 1 13.141 13.141 0 0 0 Female Tamil_Nadu South
LD1228 2 5.271 2.6355 0 0 0 0 0 0 Female Haryana North
LD2256 1 2.675 2.675 0 0 0 0 0 0 Female Tamil_Nadu South
LD0831 2 6.816 3.408 0 0 0 0 0 0 Female Karnataka South
LD2003 3 8.558 2.85267 0 0 0 0 0 0 Female Kerala South
LD2056 11 53.793 4.89027 2 20.825 10.4125 0 0 0 Female Kerala South
LD2192 1 2.269 2.269 0 0 0 0 0 0 Female Kerala South
LD0014 1 2.209 2.209 0 0 0 0 0 0 Male Tamil_Nadu South
LD0121 1 2.528 2.528 0 0 0 0 0 0 Male Kerala South
LD0581 11 72.098 6.55436 2 36.387 18.1935 1 21.234 21.234 Female Haryana North
LD0369 2 6.381 3.1905 0 0 0 0 0 0 Male Kerala South
LD1712 2 8.529 4.2645 0 0 0 0 0 0 Corrected_Female Uttar_Pradesh Central
LD1183 1 2.937 2.937 0 0 0 0 0 0 Female Haryana North
LD0749 2 6.99 3.495 0 0 0 0 0 0 Female Kerala South
LD0257 1 2.393 2.393 0 0 0 0 0 0 Male Rajasthan North
LD2590 0 0 0 0 0 0 0 0 0 Female Karnataka South
LD2013 4 14.521 3.63025 0 0 0 0 0 0 Male Tamil_Nadu South
LD2582 27 155.269 5.7507 6 70.708 11.7847 0 0 0 Female Kerala South
LD1806 20 123.582 6.1791 6 60.66 10.11 0 0 0 Male Tamil_Nadu South
LD2681 20 121.817 6.09085 4 63.35 15.8375 1 22.627 22.627 Male Tamil_Nadu South
LD1794 1 3.942 3.942 0 0 0 0 0 0 Female Rajasthan North
LD2135 18 114.733 6.37406 5 58.696 11.7392 0 0 0 Female Missing Other
LD2755 9 29.843 3.31589 0 0 0 0 0 0 Male Kerala South
LD0518 3 21.278 7.09267 1 9.47 9.47 0 0 0 Male Tamil_Nadu South
LD1334 9 32.083 3.56478 0 0 0 0 0 0 Female Kerala South
LD0624 4 11.251 2.81275 0 0 0 0 0 0 Male Rajasthan North
LD2572 3 7.129 2.37633 0 0 0 0 0 0 Female Himachal_Pradesh North
LD1001 7 31.01 4.43 1 8.002 8.002 0 0 0 Female Kerala South
LD0195 17 108.707 6.39453 4 59.856 14.964 1 23.257 23.257 Female Kerala South
